,PFGDAAU LX Equity,PFTEAAU LX Equity,PFCSAAU LX Equity,PFARAAU LX Equity,PFBKAAU LX Equity,PFGOAAU LX Equity,AIBALMA AB Equity,LODFUIA LX Equity,CCASORI MK Equity,CCASLTF MK Equity,BBFTOP3 KY Equity,CRLCBUU LX Equity,BCUSDLF KK Equity,GMFDEBI LE Equity,PGPGIFA ID Equity,BLUESPH BM Equity,PFGLAAU LX Equity,ALPCRDA LX Equity,ALCONGP AB Equity,UBSFLBI LX Equity,BUTIBLI KY Equity,PGPCBFA ID Equity,SCHGTRA LX Equity
2020-11-13,139.2,141.32,135.44,156.51,108.87,125.56,19.16,113.36,2.7331,3.5095,1305.28,11.11,10.83,108.34,1.265,1109.5,121.65,128.58,1.6102,150.44,33.89,2.312,119.9929
2020-11-20,139.2,141.32,135.44,156.51,108.87,125.56,19.247,113.36,2.7379,3.5155,1306.67,11.12,10.83,108.34,1.266,1109.5,123.44,129.27,1.6115,150.66,34.31,2.362,120.6785
2020-11-27,139.2,141.32,135.44,156.51,108.87,125.56,19.3382,113.36,2.7399,3.5187,1308.06,11.13,10.83,108.34,1.27,1109.5,123.44,129.99,1.6135,150.92,34.58,2.375,121.5906
2020-12-04,141.42,141.48,136.97,157.1,110.6,128.34,19.3108,113.56,2.7389,3.5184,1309.66,11.15,10.83,108.56,1.28,1158.1,124.23,130.59,1.6234,151.01,34.69,2.425,122.0731
2020-12-11,141.42,141.48,136.97,157.1,110.6,128.34,19.396,113.56,2.7401,3.5146,1311.05,11.15,10.83,108.56,1.284,1158.1,124.23,131.73,1.6235,150.99,34.97,2.348,122.0125
2020-12-18,141.42,141.48,136.97,157.1,110.6,128.34,19.4638,113.56,2.7506,3.5258,1312.25,11.15,10.84,108.56,1.288,1158.1,125.22,131.96,1.6336,151.08,34.99,2.391,123.1376
2020-12-25,141.42,141.48,136.97,157.1,110.6,128.34,19.5376,113.56,2.7583,3.5305,1313.86,11.15,10.84,108.56,1.29,1158.1,125.22,132.47,1.6309,151.08,34.98,2.394,122.9394
2021-01-01,145.7,144.77,139.91,161.48,113.65,132.06,19.4924,113.85,2.7647,3.5317,1315.27,11.19,10.84,108.95,1.29,1177.3,126.85,133.02,1.6196,151.33,35.34,2.475,123.5795
2021-01-08,145.7,144.77,139.91,161.48,113.65,132.06,19.7152,113.85,2.7881,3.5564,1318.28,11.19,10.84,108.95,1.287,1177.3,126.85,133.17,1.634,151.54,35.24,2.607,125.0486
2021-01-15,145.7,144.77,139.91,161.48,113.65,132.06,19.8375,113.85,2.8073,3.5853,1319.67,11.22,10.84,108.95,1.288,1177.3,127.49,133.49,1.6274,151.54,35.68,2.597,125.1331
2021-01-22,145.7,144.77,139.91,161.48,113.65,132.06,19.8006,113.85,2.8157,3.5974,1321.02,11.22,10.84,108.95,1.288,1177.3,127.49,133.88,1.6363,151.77,35.68,2.629,125.7739
2021-01-29,144.46,144.07,139.26,160.61,111.85,130.75,19.7967,114.09,2.8071,3.6026,1322.98,11.23,10.85,108.98,1.291,1176.1,125.31,134.62,1.6215,151.45,35.86,2.564,124.5436
2021-02-05,144.46,144.07,139.26,160.61,111.85,130.75,19.789,114.09,2.815,3.6024,1326.09,11.24,10.85,108.98,1.293,1176.1,125.31,134.62,1.6328,151.96,35.67,2.594,125.8473
2021-02-12,144.46,144.07,139.26,160.61,111.85,130.75,20.1146,114.09,2.8252,3.6031,1327.45,11.21,10.85,108.98,1.293,1176.1,125.31,135.27,1.6426,152.23,36.18,2.706,126.5911
2021-02-19,144.46,144.07,139.26,160.61,111.85,130.75,20.1821,114.09,2.828,3.6177,1328.82,11.26,10.85,108.98,1.291,1176.1,127.61,135.57,1.6388,152.2,36.34,2.706,126.5499
2021-02-26,146.49,147.11,141.53,162.56,112.53,130.62,20.1762,114.15,2.8207,3.611,1330.2,11.13,10.85,109.09,1.291,1193.09,126.93,135.82,1.6186,151.74,36.14,2.561,125.6732
2021-03-05,146.49,147.11,141.53,162.56,112.53,130.62,20.2468,114.15,2.8203,3.6011,1333.11,11.21,10.85,109.09,1.295,1193.09,126.93,135.82,1.6157,151.64,36.01,2.529,125.1915
2021-03-12,146.49,147.11,141.53,162.56,112.53,130.62,20.4165,114.15,2.8285,3.618,1335.12,11.23,10.85,109.09,1.295,1193.09,126.93,135.82,1.6261,152.14,36.06,2.484,125.9107
2021-03-19,146.49,147.11,141.53,162.56,112.53,130.62,20.3153,114.15,2.8284,3.6221,1341.5,11.21,10.85,109.09,1.298,1193.09,128.63,136.25,1.6272,152.12,36.52,2.441,125.7703
2021-03-26,146.49,147.11,141.53,162.56,112.53,130.62,20.3342,114.15,2.8221,3.6162,1342.87,11.27,10.85,109.09,1.299,1193.09,128.63,136.15,1.6309,152.1,36.22,2.448,125.4416
