Date,AIBALMA AB Equity,LODFUIA LX Equity,CCASORI MK Equity,BBFTOP3 KY Equity,CRLCBUU LX Equity,BCUSDLF KK Equity,PGPGIFA ID Equity,PFGLAAU LX Equity,ALPCRDA LX Equity,BUTIBLI KY Equity
13/11/2020,19.16,113.36,2.7331,1305.28,11.11,10.83,1.265,121.65,128.58,33.89
20/11/2020,19.247,113.36,2.7379,1306.67,11.12,10.83,1.266,123.44,129.27,34.31
27/11/2020,19.3382,113.36,2.7399,1308.06,11.13,10.83,1.27,123.44,129.99,34.58
04/12/2020,19.3108,113.56,2.7389,1309.66,11.15,10.83,1.28,124.23,130.59,34.69
11/12/2020,19.396,113.56,2.7401,1311.05,11.15,10.83,1.284,124.23,131.73,34.97
18/12/2020,19.4638,113.56,2.7506,1312.25,11.15,10.84,1.288,125.22,131.96,34.99
25/12/2020,19.5376,113.56,2.7583,1313.86,11.15,10.84,1.29,125.22,132.47,34.98
01/01/2021,19.4924,113.85,2.7647,1315.27,11.19,10.84,1.29,126.85,133.02,35.34
08/01/2021,19.7152,113.85,2.7881,1318.28,11.19,10.84,1.287,126.85,133.17,35.24
15/01/2021,19.8375,113.85,2.8073,1319.67,11.22,10.84,1.288,127.49,133.49,35.68
22/01/2021,19.8006,113.85,2.8157,1321.02,11.22,10.84,1.288,127.49,133.88,35.68
29/01/2021,19.7967,114.09,2.8071,1322.98,11.23,10.85,1.291,125.31,134.62,35.86
05/02/2021,19.789,114.09,2.815,1326.09,11.24,10.85,1.293,125.31,134.62,35.67
12/02/2021,20.1146,114.09,2.8252,1327.45,11.21,10.85,1.293,125.31,135.27,36.18
19/02/2021,20.1821,114.09,2.828,1328.82,11.26,10.85,1.291,127.61,135.57,36.34
26/02/2021,20.1762,114.15,2.8207,1330.2,11.13,10.85,1.291,126.93,135.82,36.14
05/03/2021,20.2468,114.15,2.8203,1333.11,11.21,10.85,1.295,126.93,135.82,36.01
12/03/2021,20.4165,114.15,2.8285,1335.12,11.23,10.85,1.295,126.93,135.82,36.06
19/03/2021,20.3153,114.15,2.8284,1341.5,11.21,10.85,1.298,128.63,136.25,36.52
26/03/2021,20.3342,114.15,2.8221,1342.87,11.27,10.85,1.299,128.63,136.15,36.22
02/04/2021,20.66,114.7,2.8223,1352.73,11.28,10.85,1.299,128.1,136.17,36.61
